gallery_name,gallery_website,startup_id,startup_name,startup_website,match_score
XpressBees,https://www.xpressbees.com,xpressbees-com,XpressBees,https://www.xpressbees.com,100
Yulu,https://www.yulu.bike,yulu-bike,Yulu,https://www.yulu.bike,100
ZoloStays,https://zolostays.com,zolostays,ZoloStays,https://zolostays.com,100
NanoHeal,https://www.nanoheal.com,nanoheal-com,NanoHeal,https://www.nanoheal.com,100
AgriBazaar,https://www.agribazaar.com,agribazaar-com,AgriBazaar,https://www.agribazaar.com,100
Bitkraft Technologies,https://www.bitkraft.co,bitkraft-co,Bitkraft Technologies,https://www.bitkraft.co,100
Druva,https://www.druva.com,druva-com,Druva,https://www.druva.com,100
Ecom Express,https://ecomexpress.in,ecomexpress-in,Ecom Express,https://ecomexpress.in,100
mfine,https://www.mfine.co,mfine-co,mfine,https://www.mfine.co,100
Yubi,https://www.go-yubi.com,go-yubi-com,Yubi,https://www.go-yubi.com,100
Crayon Data,https://www.crayondata.com,crayondata-com,Crayon Data,https://www.crayondata.com,100
Rebel Foods,https://rebelfoods.com,rebelfoods,Rebel Foods,https://rebelfoods.com,100
Pristyn Care,https://www.pristyncare.com,pristyncare-com,Pristyn Care,https://www.pristyncare.com,100
Qikru,https://qikru.com,qikru-com,Qikru,https://qikru.com,100
RetailDaddy,https://retaildaddy.com,retaildaddy-com,RetailDaddy,https://retaildaddy.com,100
TalentRecruit,https://www.talentrecruit.com,talentrecruit-com,TalentRecruit,https://www.talentrecruit.com,100
Uniphore,https://www.uniphore.com,uniphore-com,Uniphore,https://www.uniphore.com,100
OTIS,https://www.otis.com,otis-com,OTIS,https://www.otis.com,100
AMD,https://www.amd.com,amd-com,AMD,https://www.amd.com,100
Lloyds Technology Centre,https://www.lloydsbankinggroup.com,lloydsbankinggroup-com,Lloyds Technology Centre,https://www.lloydsbankinggroup.com,100
Silicon Labs,https://www.silabs.com,silabs-com,Silicon Labs,https://www.silabs.com,100
MathWorks,https://www.mathworks.com,mathworks-com,MathWorks,https://www.mathworks.com,100
