id,name,website,industry,area,careers_url,job_title,job_category,salary_range,experience_level
sanaari,"Sanaari",https://sanaari.com,"SaaS & Enterprise","Begumpet",https://sanaari.com/careers,,,,
sanyark-space,"Sanyark Space Technologies",https://sanyark.com,"AI & Machine Learning","Kondapur",https://sanyark.com/careers,,,,
scale-jobs,"Scale.jobs",https://scale.jobs,"AI & Machine Learning","Kondapur",https://scale.jobs/careers,,,,
semex-ai,"Semex AI",https://t-hub.co,"AI & Machine Learning","Knowledge City / T-Hub",https://t-hub.co/careers,,,,
sense-health,"Sense Health Technologies",https://itic.iith.ac.in,"HealthTech & BioTech","HITEC City",https://itic.iith.ac.in/careers,,,,
protonx-seven-robotics,"Seven Robotics (ProtonX)",https://sevenrobotics.in,"AI & Machine Learning","Banjara Hills",https://sevenrobotics.in/careers,,,,
shoshin-tech,"Shoshin Tech",https://shoshin.tech,"EdTech","HITEC City",https://shoshin.tech/careers,,,,
sids-farm,"Sid's Farm",https://sidsfarm.com,"E-Commerce & Consumer","HITEC City",https://sidsfarm.com/careers,,,,
signalx-ai,"SignalX.ai",https://signalx.ai,"AI & Machine Learning","Knowledge City / T-Hub",https://signalx.ai/careers,,,,
signzy,"Signzy",https://signzy.com,"FinTech & InsurTech","Financial District",https://signzy.com/careers,,,,
silicon-business-solutions,"Silicon Business Solutions",https://siliconbiz.in,"SaaS & Enterprise","Begumpet",https://siliconbiz.in/careers,,,,
sind-technologies,"Sind Technologies",https://sindtechnologies.com,"SaaS & Enterprise","Madhapur",https://sindtechnologies.com/careers,,,,
sioniqerp,"Sioniq ERP",https://sioniqerp.com,"SaaS & Enterprise","Gachibowli",https://sioniqerp.com/careers,,,,
skyroot-aerospace,"Skyroot Aerospace",https://skyroot.in,"DeepTech & Aerospace","HITEC City",https://skyroot.in/careers,,,,
space-os,"Space OS",https://t-hub.co,"AI & Machine Learning","Knowledge City / T-Hub",https://t-hub.co/careers,,,,
spadeworks,"SpadeWorks",https://spadeworks.co,"AI & Machine Learning","Madhapur",https://spadeworks.co/careers,,,,
spicenet,"Spicenet",https://spicenet.in,"SaaS & Enterprise","Begumpet",https://spicenet.in/careers,,,,
sreeal,"SreeAL",https://sreeal.com,"AI & Machine Learning","Uppal & East",https://sreeal.com/careers,,,,
stag-innovations,"STAG Innovations",https://staginnovations.com,"AI & Machine Learning","Gachibowli",https://staginnovations.com/careers,,,,
startoon-labs,"Startoon Labs",https://startoonlabs.com,"HealthTech & BioTech","HITEC City",https://startoonlabs.com/careers,,,,
statwig,"StaTwig",https://statwig.com,"SaaS & Enterprise","Knowledge City / T-Hub",https://statwig.com/careers,,,,
stelx-dynamics,"StelX Dynamics",https://stelxdynamics.com,"AI & Machine Learning","Knowledge City / T-Hub",https://stelxdynamics.com/careers,,,,
storyvord,"Storyvord",https://storyvord.io,"AI & Machine Learning","Knowledge City / T-Hub",https://storyvord.io/careers,,,,
student-tribe,"Student Tribe",https://studenttribe.in,"EdTech","Madhapur",https://studenttribe.in/careers,,,,
subtl-ai,"Subtl.ai",https://subtl.ai,"AI & Machine Learning","Gachibowli",https://subtl.ai/careers,,,,
successmetric,"SuccessMetric",https://successmetric.in,"SaaS & Enterprise","Madhapur",https://successmetric.in/careers,,,,
swipe,"Swipe",https://getswipe.in,"FinTech & InsurTech","HITEC City",https://getswipe.in/careers,,,,
t-works,"T-Works",https://tworks.telangana.gov.in,"AI & Machine Learning","Knowledge City / T-Hub",https://tworks.telangana.gov.in/careers,,,,
takeme2space,"TakeMe2Space",https://tm2.space,"DeepTech & Aerospace","Financial District",https://tm2.space/careers,,,,
teamwa,"TeamWA",https://teamwa.com,"SaaS & Enterprise","Madhapur",https://teamwa.com/careers,,,,
tech-cloud-erp,"Tech Cloud ERP",https://techclouderp.com,"SaaS & Enterprise","Madhapur",https://techclouderp.com/careers,,,,
techbhp,"TechBHP",https://techbhp.com,"CleanTech & EV","Kondapur",https://techbhp.com/careers,,,,
techvedika,"TechVedika",https://techvedika.com,"AI & Machine Learning","Gachibowli",https://techvedika.com/careers,,,,
techzert,"TechZert",https://techzert.com,"SaaS & Enterprise","Gachibowli",https://techzert.com/careers,,,,
tenet-diagnostics,"Tenet Diagnostics",https://tenetmedcorp.com,"HealthTech & BioTech","Banjara Hills",https://tenetmedcorp.com/careers,,,,
tensorgo,"TensorGo",https://tensorgo.com,"AI & Machine Learning","HITEC City",https://tensorgo.com/careers,,,,
